Orgs,,label
national company law tribunal,National Company Law Tribunal,0
federal-mogul goetze (ind,FEDERAL-MOGUL GOETZE (IND,1
regulatory board and organisation,Regulatory Board and Organisation,0
central bureau of investigation (cbi),Central Bureau of Investigation (CBI),0
mbl infrastructures ltd  ,MBL INFRASTRUCTURES LTD  ,1
jsw holdings limited     ,JSW HOLDINGS LIMITED     ,1
indian diamond institute,Indian Diamond Institute,0
national council for teacher education,National Council for Teacher Education,0
united nilgiri tea ltd   ,UNITED NILGIRI TEA LTD   ,1
lambodhara textiles ltd. ,LAMBODHARA TEXTILES LTD. ,1
bharat gears ltd.        ,BHARAT GEARS LTD.        ,1
tokyo plast intl ltd     ,TOKYO PLAST INTL LTD     ,1
premier limited          ,PREMIER LIMITED          ,1
insolvency and bankruptcy board of india,Insolvency and Bankruptcy Board of India,0
lloyds steels ind. ltd.  ,LLOYDS STEELS IND. LTD.  ,1
oil india ltd            ,OIL INDIA LTD            ,1
weizmann forex limited   ,WEIZMANN FOREX LIMITED   ,1
mold-tek technologies ltd,MOLD-TEK TECHNOLOGIES LTD,1
prism johnson limited    ,PRISM JOHNSON LIMITED    ,1
visa steel limited       ,VISA STEEL LIMITED       ,1
export inspection agency-delhi,Export Inspection Agency-Delhi,0
mep infra. developers ltd,MEP INFRA. DEVELOPERS LTD,1
boards / academies / institutions (grant in aid),Boards / Academies / Institutions (Grant in Aid),0
sports authority of india (sai),Sports Authority of India (SAI),0
cigniti technologies ltd ,CIGNITI TECHNOLOGIES LTD ,1
vijaya bank              ,VIJAYA BANK              ,1
department of revenue,Department of Revenue,0
khadim india limited     ,KHADIM INDIA LIMITED     ,1
university grants commission (ugc),University Grants Commission (UGC),0
e-land apparel limited   ,E-LAND APPAREL LIMITED   ,1
ministry of youth affairs and sports,Ministry of Youth Affairs and Sports,0
cashew export promotion council of india (cepci),Cashew Export Promotion Council of India (CEPCI),0
astrazeneca pharma ind lt,ASTRAZENECA PHARMA IND LT,1
doordarshan (dd),Doordarshan (DD),0
relaxo foot ltd.         ,RELAXO FOOT LTD.         ,1
indian institute of entrepreneurship,Indian Institute of Entrepreneurship,0
petroleum conservation research association,Petroleum Conservation Research Association,0
the department of space manages the following agencies and institutes:,The Department of Space manages the following agencies and institutes:,0
adhunik metaliks ltd.    ,ADHUNIK METALIKS LTD.    ,1
mukta arts limited       ,MUKTA ARTS LIMITED       ,1
ministry of finance,Ministry of Finance,0
eris lifesciences limited,ERIS LIFESCIENCES LIMITED,1
clariant chemicals (india,CLARIANT CHEMICALS (INDIA,1
national institute of mentally handicapped,National Institute of Mentally Handicapped,0
prakash industries ltd   ,PRAKASH INDUSTRIES LTD   ,1
pg electroplast ltd      ,PG ELECTROPLAST LTD      ,1
psp projects limited     ,PSP PROJECTS LIMITED     ,1
kingfa sci & tec ind ltd.,KINGFA SCI & TEC IND LTD.,1
ineos styrolution ind ltd,INEOS STYROLUTION IND LTD,1
centre for forestry research and human resource development,Centre for Forestry Research and Human Resource Development,0
indo-tibetan border police,Indo-Tibetan Border Police,0
shipping corp of india lt,SHIPPING CORP OF INDIA LT,1
adani gas limited        ,ADANI GAS LIMITED        ,1
power mech projects ltd. ,POWER MECH PROJECTS LTD. ,1
mirza international limit,MIRZA INTERNATIONAL LIMIT,1
directorate general of foreign trade (dgft),Directorate General of Foreign Trade (DGFT),0
arvind smartspaces ltd   ,ARVIND SMARTSPACES LTD   ,1
central bank of india    ,CENTRAL BANK OF INDIA    ,1
central warehousing corporation (statutory body),Central Warehousing Corporation (statutory body),0
karnataka bank limited   ,KARNATAKA BANK LIMITED   ,1
intense technologies ltd ,INTENSE TECHNOLOGIES LTD ,1
national centre for antarctic and ocean research (ncaor),National Centre for Antarctic and Ocean Research (NCAOR),0
amd industries limited   ,AMD INDUSTRIES LIMITED   ,1
electrotherm (i) ltd.    ,ELECTROTHERM (I) LTD.    ,1
shreyans industries ltd  ,SHREYANS INDUSTRIES LTD  ,1
telecom regulatory authority of india,Telecom Regulatory Authority of India,0
apprenticeship training scheme,Apprenticeship Training Scheme,0
balmer lawrie & co ltd   ,BALMER LAWRIE & CO LTD   ,1
ircon international (public sector undertaking),Ircon International (public sector undertaking),0
kellton tech sol ltd     ,KELLTON TECH SOL LTD     ,1
cyber media (india) ltd. ,CYBER MEDIA (INDIA) LTD. ,1
mangalam timber products ,MANGALAM TIMBER PRODUCTS ,1
bhageria industries ltd  ,BHAGERIA INDUSTRIES LTD  ,1
ministry of chemicals and fertilizers,Ministry of Chemicals and Fertilizers,0
state trading corporation of india limited (stci),State Trading Corporation of India Limited (STCI),0
kamat hotels (i) ltd     ,KAMAT HOTELS (I) LTD     ,1
economic,Economic,0
yachting association of india,Yachting Association of India,0
jsw steel limited        ,JSW STEEL LIMITED        ,1
aksharchem india limited ,AKSHARCHEM INDIA LIMITED ,1
inox leisure limited     ,INOX LEISURE LIMITED     ,1
badminton association of india,Badminton Association of India,0
p&g hygiene & health care,P&G HYGIENE & HEALTH CARE,1
ador welding ltd         ,ADOR WELDING LTD         ,1
central institute of higher tibetan studies (cihts),Central Institute of Higher Tibetan Studies (CIHTS),0
tejas networks limited   ,TEJAS NETWORKS LIMITED   ,1
ministry of coal,Ministry of Coal,0
civil services officers institute (csoi),Civil Services Officers Institute (CSOI),0
national horticulture board (nhb),National Horticulture Board (NHB),0
astra microwave ltd      ,ASTRA MICROWAVE LTD      ,1
"ministry of consumer affairs, food and public distribution","Ministry of Consumer Affairs, Food and Public Distribution",0
iol chem and pharma ltd  ,IOL CHEM AND PHARMA LTD  ,1
khandwala securities ltd ,KHANDWALA SECURITIES LTD ,1
"heavy water board (hwb), mumbai","Heavy Water Board (HWB), Mumbai",0
aditya birla fashion & rt,ADITYA BIRLA FASHION & RT,1
dixon techno (india) ltd ,DIXON TECHNO (INDIA) LTD ,1
arrow textiles limited   ,ARROW TEXTILES LIMITED   ,1
aegis logistics limited  ,AEGIS LOGISTICS LIMITED  ,1
jet airways (india) ltd. ,JET AIRWAYS (INDIA) LTD. ,1
s h kelkar and co. ltd.  ,S H KELKAR AND CO. LTD.  ,1
prakash constrowell ltd  ,PRAKASH CONSTROWELL LTD  ,1
national commission for minority educational institutions (http://ncmei.gov.in/) (ncmei),National Commission for Minority Educational Institutions (http://ncmei.gov.in/) (NCMEI),0
bureau of police research and development,Bureau of Police Research and Development,0
spice mobility limited   ,SPICE MOBILITY LIMITED   ,1
indian bank              ,INDIAN BANK              ,1
jaiprakash power ven. ltd,JAIPRAKASH POWER VEN. LTD,1
ministry of housing and urban affairs,Ministry of Housing and Urban Affairs,0
"regional inspectorial organisation, shillong","Regional Inspectorial Organisation, Shillong",0
"govind ballabh pant institute of himalayan environment and development, almora","Govind Ballabh Pant Institute of Himalayan Environment and Development, Almora",0
schneider electric infra ,SCHNEIDER ELECTRIC INFRA ,1
chromatic india ltd      ,CHROMATIC INDIA LTD      ,1
indian energy exc ltd    ,INDIAN ENERGY EXC LTD    ,1
andhra bank              ,ANDHRA BANK              ,1
"indira gandhi centre for atomic research (igcar), kalpakkam, tamil nadu","Indira Gandhi Centre for Atomic Research (IGCAR), Kalpakkam, Tamil Nadu",0
institute of cost accountants of india,Institute of Cost Accountants of India,0
"directorate of construction, services and estate management (dae) (dcsem), mumbai","Directorate of Construction, Services and Estate Management (DAE) (DCSEM), Mumbai",0
borosil glass works ltd  ,BOROSIL GLASS WORKS LTD  ,1
ge t&d india limited     ,GE T&D INDIA LIMITED     ,1
dena bank                ,DENA BANK                ,1
can fin homes ltd        ,CAN FIN HOMES LTD        ,1
torrent power ltd        ,TORRENT POWER LTD        ,1
leel electricals limited ,LEEL ELECTRICALS LIMITED ,1
steel authority of india ,STEEL AUTHORITY OF INDIA ,1
bartronics india limited ,BARTRONICS INDIA LIMITED ,1
som dist & brew ltd      ,SOM DIST & BREW LTD      ,1
india chemicals and pharmaceuticals limited,India Chemicals and Pharmaceuticals Limited,0
ministry of civil aviation,Ministry of Civil Aviation,0
beardsell limited        ,BEARDSELL LIMITED        ,1
merck limited            ,MERCK LIMITED            ,1
hikal limited            ,HIKAL LIMITED            ,1
adani port & sez ltd     ,ADANI PORT & SEZ LTD     ,1
boards,Boards,0
mandhana indus. ltd      ,MANDHANA INDUS. LTD      ,1
sel manu. co. ltd.       ,SEL MANU. CO. LTD.       ,1
pearl global ind limited ,PEARL GLOBAL IND LIMITED ,1
research and analysis wing (raw) (external),Research and Analysis Wing (RAW) (external),0
shanthi gears ltd        ,SHANTHI GEARS LTD        ,1
dynacons sys & soln ltd  ,DYNACONS SYS & SOLN LTD  ,1
tvs electronics ltd      ,TVS ELECTRONICS LTD      ,1
cera sanitaryware ltd    ,CERA SANITARYWARE LTD    ,1
peninsula land limited   ,PENINSULA LAND LIMITED   ,1
indira gandhi rashtriya uran academy,Indira Gandhi Rashtriya Uran Academy,0
indian drugs and pharmaceuticals,Indian Drugs and Pharmaceuticals,0
gateway distriparks ltd. ,GATEWAY DISTRIPARKS LTD. ,1
ramsarup industries ltd  ,RAMSARUP INDUSTRIES LTD  ,1
unique identification authority of india(uidai),Unique Identification Authority of India(UIDAI),0
national anti-doping agency (nada),National Anti-Doping Agency (NADA),0
national board of accreditation (nba),National Board of Accreditation (NBA),0
automotive stampings & as,AUTOMOTIVE STAMPINGS & AS,1
board of control for cricket in india (bcci),Board of Control for Cricket in India (BCCI),0
,,0
jute industry's research association (ijira),Jute Industry's Research Association (IJIRA),0
insecticides (i) ltd     ,INSECTICIDES (I) LTD     ,1
tilaknagar industries ltd,TILAKNAGAR INDUSTRIES LTD,1
dolphin off. ent ind ltd.,DOLPHIN OFF. ENT IND LTD.,1
oriental trimex ltd      ,ORIENTAL TRIMEX LTD      ,1
indian institute of packaging (iip),Indian Institute of Packaging (IIP),0
rail coach factory,Rail Coach Factory,0
n r agarwal inds ltd     ,N R AGARWAL INDS LTD     ,1
gtn textiles limited     ,GTN TEXTILES LIMITED     ,1
abb india limited        ,ABB INDIA LIMITED        ,1
b.l.kashyap & son ltd    ,B.L.KASHYAP & SON LTD    ,1
cords cable indus ltd.   ,CORDS CABLE INDUS LTD.   ,1
economic intelligence council,Economic Intelligence Council,0
jindal stainless (h) ltd ,JINDAL STAINLESS (H) LTD ,1
proseed india limited    ,PROSEED INDIA LIMITED    ,1
space university.,space university.,0
vipul limited            ,VIPUL LIMITED            ,1
cantabil retail ltd      ,CANTABIL RETAIL LTD      ,1
sastasundar ventures ltd ,SASTASUNDAR VENTURES LTD ,1
gtpl hathway limited     ,GTPL HATHWAY LIMITED     ,1
pitti engineering limited,PITTI ENGINEERING LIMITED,1
"central recordkeeping agency (cra) for the new pension system (nps), nsdl","Central Recordkeeping Agency (CRA) for the New Pension System (NPS), NSDL",0
election commission of india,Election Commission of India,0
"national institute of micro, small and medium enterprises (formerly the national institute of","National Institute of Micro, Small and Medium Enterprises (formerly the National Institute of",0
mazda limited            ,MAZDA LIMITED            ,1
pioneer embroideries ltd ,PIONEER EMBROIDERIES LTD ,1
maulana azad education foundation,Maulana Azad Education Foundation,0
ministry of women and child,Ministry of Women and Child,0
indowind energy ltd      ,INDOWIND ENERGY LTD      ,1
heritage foods ltd       ,HERITAGE FOODS LTD       ,1
equestrian federation of india (efi),Equestrian Federation of India (EFI),0
"raja ramanna centre for advanced technology (rrcat), indore","Raja Ramanna Centre for Advanced Technology (RRCAT), Indore",0
pharmacy council of india[pci],Pharmacy Council of India[PCI],0
btrfly gandhi appl ltd   ,BTRFLY GANDHI APPL LTD   ,1
north eastern regional institute of science and technology (nerist),North Eastern Regional Institute of Science and Technology (NERIST),0
gangotri textiles ltd.   ,GANGOTRI TEXTILES LTD.   ,1
serious fraud investigation office (sfio),Serious Fraud Investigation Office (SFIO),0
motherson sumi systems lt,MOTHERSON SUMI SYSTEMS LT,1
vaibhav global limited   ,VAIBHAV GLOBAL LIMITED   ,1
c&c const. ltd.          ,C&C CONST. LTD.          ,1
msp steel & power ltd.   ,MSP STEEL & POWER LTD.   ,1
imp powers ltd           ,IMP POWERS LTD           ,1
shree rama newsprint ltd ,SHREE RAMA NEWSPRINT LTD ,1
reserve bank of india,Reserve Bank of India,0
asahi india glass limited,ASAHI INDIA GLASS LIMITED,1
avt natural products ltd ,AVT NATURAL PRODUCTS LTD ,1
raja rammohun roy library foundation (rrrlf),Raja Rammohun Roy Library Foundation (RRRLF),0
department of defence research and development,Department of Defence Research and Development,0
icra limited             ,ICRA LIMITED             ,1
petroleum planning and analysis cell,Petroleum Planning and Analysis Cell,0
manaksia steels ltd      ,MANAKSIA STEELS LTD      ,1
ptl enterprises ltd      ,PTL ENTERPRISES LTD      ,1
national institute of rural development (nird),National Institute of Rural Development (NIRD),0
ang industries limited   ,ANG INDUSTRIES LIMITED   ,1
intelligence bureau,Intelligence Bureau,0
hexa tradex limited      ,HEXA TRADEX LIMITED      ,1
railtel corporation of india (public sector undertaking),Railtel Corporation of India (public sector undertaking),0
marathon nxtgen realt ltd,MARATHON NXTGEN REALT LTD,1
uniphos enterprises ltd  ,UNIPHOS ENTERPRISES LTD  ,1
empee disti. ltd.        ,EMPEE DISTI. LTD.        ,1
winsome yarns limited    ,WINSOME YARNS LIMITED    ,1
national foundation for teachers' welfare,National Foundation for Teachers' Welfare,0
jbf industries ltd       ,JBF INDUSTRIES LTD       ,1
asian hotels (east) ltd  ,ASIAN HOTELS (EAST) LTD  ,1
speciality rest ltd      ,SPECIALITY REST LTD      ,1
national open school institute (nosi),National Open School Institute (NosI),0
torrent pharmaceuticals l,TORRENT PHARMACEUTICALS L,1
national book trust (nbt),National Book Trust (NBT),0
subordinate offices,Subordinate Offices,0
kanani industries ltd    ,KANANI INDUSTRIES LTD    ,1
keynote corp. serv. ltd  ,KEYNOTE CORP. SERV. LTD  ,1
prasar bharati,Prasar Bharati,0
"shri lal bahadur shastri rashtriya sanskrit vidyapeeth (slbsrsv) new delhi,","Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeeth (SLBSRSV) New Delhi,",0
psl limited              ,PSL LIMITED              ,1
housing and urban development corporation (hudco) (public sector undertaking),Housing and Urban Development Corporation (HUDCO) (Public Sector Undertaking),0
directorate general of resettlement (dgr),Directorate General of Resettlement (DGR),0
panacea biotec ltd       ,PANACEA BIOTEC LTD       ,1
nhpc ltd                 ,NHPC LTD                 ,1
"isro inertial systems unit (iisu), thiruvananthapuram.","ISRO Inertial Systems Unit (IISU), Thiruvananthapuram.",0
rajshree sugar & chemical,RAJSHREE SUGAR & CHEMICAL,1
ministry of defence,Ministry of Defence,0
directorate of revenue intelligence,Directorate of Revenue Intelligence,0
"directorate of forest education (dfe), dehradun","Directorate of Forest Education (DFE), Dehradun",0
blue coast hotels limited,BLUE COAST HOTELS LIMITED,1
superhouse limited       ,SUPERHOUSE LIMITED       ,1
apar industries ltd.     ,APAR INDUSTRIES LTD.     ,1
mm forgings ltd          ,MM FORGINGS LTD          ,1
global vec helicorp ltd  ,GLOBAL VEC HELICORP LTD  ,1
amara raja batteries ltd.,AMARA RAJA BATTERIES LTD.,1
sangeet natak akademi,Sangeet Natak Akademi,0
tamil nadu state chess association (tnsca),Tamil Nadu State Chess Association (TNSCA),0
[11][12],[11][12],0
grasim industries ltd    ,GRASIM INDUSTRIES LTD    ,1
db (int) stock brokers   ,DB (INT) STOCK BROKERS   ,1
directorate of enforcement,Directorate of Enforcement,0
"directorate general, factory advice service and labour institutes (dgfasli)","Directorate General, Factory Advice Service and Labour Institutes (DGFASLI)",0
"semi-conductor laboratory (scl), mohali.","Semi-Conductor Laboratory (SCL), Mohali.",0
pnc infratech ltd.       ,PNC INFRATECH LTD.       ,1
monte carlo fashions ltd.,MONTE CARLO FASHIONS LTD.,1
directorate general of revenue intelligence(dgri),Directorate General of Revenue Intelligence(DGRI),0
kancheepuram and kurnool ),Kancheepuram and Kurnool ),0
"indian institute of engineering science and technology, shibpur (iiest)","Indian Institute of Engineering Science and Technology, Shibpur (IIEST)",0
eih limited              ,EIH LIMITED              ,1
ismt limited             ,ISMT LIMITED             ,1
guj nar val fer & chem l ,GUJ NAR VAL FER & CHEM L ,1
"chandigarh, chennai and kolkata)","Chandigarh, Chennai and Kolkata)",0
"national gallery of modern art, mumbai","National Gallery of Modern Art, Mumbai",0
wool research association (wra),Wool Research Association (WRA),0
goldstone technologies lt,GOLDSTONE TECHNOLOGIES LT,1
ahmedabad textile industry's research association (atira),Ahmedabad Textile Industry's Research Association (ATIRA),0
amateur baseball federation of india,Amateur Baseball federation of India,0
tcpl packaging limited   ,TCPL PACKAGING LIMITED   ,1
upl limited              ,UPL LIMITED              ,1
navodaya vidyalaya samiti (nvs),Navodaya Vidyalaya Samiti (NVS),0
prajay eng. syn. ltd.    ,PRAJAY ENG. SYN. LTD.    ,1
nmdc ltd.                ,NMDC LTD.                ,1
pennar eng bldg sys ltd  ,PENNAR ENG BLDG SYS LTD  ,1
gokul agro resources ltd ,GOKUL AGRO RESOURCES LTD ,1
central administrative tribunal,Central Administrative Tribunal,0
repatriates co-operative finance and development bank limited,Repatriates Co-operative Finance and Development Bank Limited,0
"three deemed universities in the field of sanskrit, viz.","Three Deemed Universities in the field of Sanskrit, viz.",0
pi industries ltd        ,PI INDUSTRIES LTD        ,1
teamlease services ltd.  ,TEAMLEASE SERVICES LTD.  ,1
vardhman textiles limited,VARDHMAN TEXTILES LIMITED,1
ministry of culture,Ministry of culture,0
container corp of ind ltd,CONTAINER CORP OF IND LTD,1
ganesh housing corp ltd  ,GANESH HOUSING CORP LTD  ,1
pvp ventures limited     ,PVP VENTURES LIMITED     ,1
s.e. power limited       ,S.E. POWER LIMITED       ,1
administration and languages,Administration and Languages,0
dollar industries limited,DOLLAR INDUSTRIES LIMITED,1
hinduja ventures limited ,HINDUJA VENTURES LIMITED ,1
autoline industries ltd  ,AUTOLINE INDUSTRIES LTD  ,1
commissioner of payments,Commissioner of Payments,0
"research design and standards organisation, lucknow","Research Design and Standards Organisation, Lucknow",0
granules india limited   ,GRANULES INDIA LIMITED   ,1
arihant foun & hou ltd   ,ARIHANT FOUN & HOU LTD   ,1
infosys limited          ,INFOSYS LIMITED          ,1
birds jute and export ltd. (bjel),Birds Jute and Export Ltd. (BJEL),0
national council of science museums (ncsm),National Council of Science Museums (NCSM),0
mt educare ltd           ,MT EDUCARE LTD           ,1
attached offices,Attached Offices,0
central economic intelligence bureau,Central Economic Intelligence Bureau,0
il&fs eng and cons co ltd,IL&FS ENG AND CONS CO LTD,1
j b chemicals and pharma ,J B CHEMICALS AND PHARMA ,1
jbm auto limited         ,JBM AUTO LIMITED         ,1
sashastra seema bal,Sashastra Seema Bal,0
kirloskar industries ltd ,KIRLOSKAR INDUSTRIES LTD ,1
indusind bank limited    ,INDUSIND BANK LIMITED    ,1
indian council of philosophical research (icpr),Indian Council of Philosophical Research (ICPR),0
"46 central universities as on 11.09.2015, list issued by university grants commission","46 Central Universities as on 11.09.2015, list issued by University Grants Commission",0
trans & recti. ltd       ,TRANS & RECTI. LTD       ,1
ramgopal polytex limited ,RAMGOPAL POLYTEX LIMITED ,1
syncom healthcare ltd    ,SYNCOM HEALTHCARE LTD    ,1
bombay rayon fashions ltd,BOMBAY RAYON FASHIONS LTD,1
ujaas energy limited     ,UJAAS ENERGY LIMITED     ,1
competition appellate tribunal,Competition Appellate Tribunal,0
intellectual property appellate board,Intellectual Property Appellate Board,0
hathway cable & datacom  ,HATHWAY CABLE & DATACOM  ,1
khadi & village industries commission,Khadi & Village Industries Commission,0
lakshmi vilas bank ltd   ,LAKSHMI VILAS BANK LTD   ,1
ramco systems ltd.       ,RAMCO SYSTEMS LTD.       ,1
16 zones,16 Zones,0
ttk prestige ltd         ,TTK PRESTIGE LTD         ,1
gtl ltd                  ,GTL LTD                  ,1
adani green energy ltd   ,ADANI GREEN ENERGY LTD   ,1
bliss gvs pharma ltd     ,BLISS GVS PHARMA LTD     ,1
nitco limited            ,NITCO LIMITED            ,1
capri global capital ltd ,CAPRI GLOBAL CAPITAL LTD ,1
sanco industries limited ,SANCO INDUSTRIES LIMITED ,1
pc jeweller ltd          ,PC JEWELLER LTD          ,1
"tata institute of fundamental research, mumbai","Tata Institute of Fundamental Research, Mumbai",0
ministry of rural development,Ministry of Rural Development,0
damodar industries ltd   ,DAMODAR INDUSTRIES LTD   ,1
jagran prakashan limited ,JAGRAN PRAKASHAN LIMITED ,1
info edge (i) ltd        ,INFO EDGE (I) LTD        ,1
sardar vallabhbhai patel institute of textile management,Sardar Vallabhbhai Patel Institute of Textile Management,0
bsel infrastructure realt,BSEL INFRASTRUCTURE REALT,1
religare enter. ltd.     ,RELIGARE ENTER. LTD.     ,1
smartlink holdings ltd   ,SMARTLINK HOLDINGS LTD   ,1
eid parry india ltd      ,EID PARRY INDIA LTD      ,1
maintenance units,Maintenance Units,0
central council of indian medicine,Central Council of Indian Medicine,0
emmbi industries limited ,EMMBI INDUSTRIES LIMITED ,1
statutory bodies,Statutory Bodies,0
national institute of electronics and information technology (nielit),National Institute of Electronics and Information Technology (NIELIT),0
national film development corporation (public sector undertaking),National Film Development Corporation (public sector undertaking),0
ministry of minority affairs,Ministry of Minority Affairs,0
ministry of railways,Ministry of Railways,0
department of commerce,Department of Commerce,0
mindteck (india) limited ,MINDTECK (INDIA) LIMITED ,1
somi conveyor belt. ltd. ,SOMI CONVEYOR BELT. LTD. ,1
lemon tree hotels ltd    ,LEMON TREE HOTELS LTD    ,1
"english and foreign language university (eflu), hyderabad","English and Foreign Language University (EFLU), Hyderabad",0
india trade promotion organisation (itpo),India Trade Promotion Organisation (ITPO),0
sree rayalseema hhp ltd. ,SREE RAYALSEEMA HHP LTD. ,1
national tiger conservation authority,National Tiger Conservation Authority,0
indraprastha medical corp,INDRAPRASTHA MEDICAL CORP,1
rites limited (public sector undertaking),RITES Limited (public sector undertaking),0
skipper limited          ,SKIPPER LIMITED          ,1
dynamatic technologies   ,DYNAMATIC TECHNOLOGIES   ,1
manali petrochemicals lt ,MANALI PETROCHEMICALS LT ,1
almondz global sec ltd   ,ALMONDZ GLOBAL SEC LTD   ,1
sintex industries ltd    ,SINTEX INDUSTRIES LTD    ,1
bharat rasayan ltd       ,BHARAT RASAYAN LTD       ,1
ucal fuel systems ltd    ,UCAL FUEL SYSTEMS LTD    ,1
wabco india limited      ,WABCO INDIA LIMITED      ,1
kothari petrochem ltd    ,KOTHARI PETROCHEM LTD    ,1
[5],[5],0
hockey india,Hockey India,0
national institute of design,National Institute of Design,0
eastern zonal cultural centre,Eastern Zonal Cultural Centre,0
autonomous agencies,Autonomous Agencies,0
bedmutha indust ltd      ,BEDMUTHA INDUST LTD      ,1
reliance naval & engg ltd,RELIANCE NAVAL & ENGG LTD,1
first national judicial pay commission,First National Judicial Pay Commission,0
narayana hrudayalaya ltd.,NARAYANA HRUDAYALAYA LTD.,1
orient green power co ltd,ORIENT GREEN POWER CO LTD,1
schaeffler india limited ,SCHAEFFLER INDIA LIMITED ,1
"uranium corporation of india, singhbhum","Uranium Corporation of India, Singhbhum",0
national mission for manuscripts,National Mission for Manuscripts,0
central translation bureau,Central Translation Bureau,0
s. p. apparels limited   ,S. P. APPARELS LIMITED   ,1
north eastern police academy,North Eastern Police Academy,0
poly medicure limited    ,POLY MEDICURE LIMITED    ,1
opto circuits (i) ltd.   ,OPTO CIRCUITS (I) LTD.   ,1
national,National,0
next mediaworks limited  ,NEXT MEDIAWORKS LIMITED  ,1
cg power and ind sol ltd ,CG POWER AND IND SOL LTD ,1
national institute of food technology entrepreneurship and management,National Institute of Food Technology Entrepreneurship and Management,0
vadilal industries ltd   ,VADILAL INDUSTRIES LTD   ,1
national numbering organisation (ean-india),National Numbering Organisation (EAN-India),0
central vigilance commission (cvc),Central Vigilance Commission (CVC),0
lakshmi fin ind corp ltd ,LAKSHMI FIN IND CORP LTD ,1
"indian rare earths limited (irel), mumbai","Indian Rare Earths Limited (IREL), Mumbai",0
jaiprakash associates ltd,JAIPRAKASH ASSOCIATES LTD,1
3i infotech ltd.         ,3I INFOTECH LTD.         ,1
reliance nippon l a m ltd,RELIANCE NIPPON L A M LTD,1
antrix corporation – the marketing arm of isro.,Antrix Corporation – The marketing arm of ISRO.,0
national institute of fashion technology (nift),National Institute of Fashion Technology (NIFT),0
morarjee textiles limited,MORARJEE TEXTILES LIMITED,1
"institute for plasma research, gandhinagar","Institute for Plasma Research, Gandhinagar",0
chambal fertilizers ltd  ,CHAMBAL FERTILIZERS LTD  ,1
bajaj elect.ltd          ,BAJAJ ELECT.LTD          ,1
walchandnagar industries ,WALCHANDNAGAR INDUSTRIES ,1
subros limited           ,SUBROS LIMITED           ,1
nagarjuna oil refinery   ,NAGARJUNA OIL REFINERY   ,1
bank of baroda           ,BANK OF BARODA           ,1
mishra dhatu nigam ltd   ,MISHRA DHATU NIGAM LTD   ,1
hatsun agro product ltd. ,HATSUN AGRO PRODUCT LTD. ,1
time technoplast ltd.    ,TIME TECHNOPLAST LTD.    ,1
mahindra & mahindra ltd  ,MAHINDRA & MAHINDRA LTD  ,1
hpl electric & power ltd ,HPL ELECTRIC & POWER LTD ,1
investigation division of the central board of direct taxes,Investigation Division of the Central Board of Direct Taxes,0
genus p&b limited        ,GENUS P&B LIMITED        ,1
spices board,Spices Board,0
"central power research institute (cpri), bangalore, karnataka","Central Power Research Institute (CPRI), Bangalore, Karnataka",0
federation of indian export organisations (fieo),Federation of Indian Export Organisations (FIEO),0
cashew export promotion council of india (cepc),Cashew Export Promotion Council of India (CEPC),0
astec lifesciences ltd   ,ASTEC LIFESCIENCES LTD   ,1
banswara syntex limited  ,BANSWARA SYNTEX LIMITED  ,1
amj land holdings limited,AMJ LAND HOLDINGS LIMITED,1
national informatics centre (nic),National Informatics Centre (NIC),0
aro granite ind. ltd.    ,ARO GRANITE IND. LTD.    ,1
oricon enterprises ltd   ,ORICON ENTERPRISES LTD   ,1
nk industries ltd        ,NK INDUSTRIES LTD        ,1
lumax industries ltd     ,LUMAX INDUSTRIES LTD     ,1
bata india ltd           ,BATA INDIA LTD           ,1
sreeleathers limited     ,SREELEATHERS LIMITED     ,1
ruchira papers limited   ,RUCHIRA PAPERS LIMITED   ,1
joint cipher bureau,Joint Cipher Bureau,0
alicon castalloy limited ,ALICON CASTALLOY LIMITED ,1
everest kanto cylinderltd,EVEREST KANTO CYLINDERLTD,1
kohinoor foods limited   ,KOHINOOR FOODS LIMITED   ,1
crisil ltd               ,CRISIL LTD               ,1
statutory bodies,Statutory Bodies,0
greenply industries ltd  ,GREENPLY INDUSTRIES LTD  ,1
department of scientific & industrial research,Department of Scientific & Industrial Research,0
indo-national limited    ,INDO-NATIONAL LIMITED    ,1
the p k tea prod co ltd  ,THE P K TEA PROD CO LTD  ,1
rolta india ltd          ,ROLTA INDIA LTD          ,1
fine organic ind. ltd.   ,FINE ORGANIC IND. LTD.   ,1
bharat dynamics limited  ,BHARAT DYNAMICS LIMITED  ,1
gic housing finance ltd  ,GIC HOUSING FINANCE LTD  ,1
"botanical survey of india (bsi), kolkata","Botanical Survey of India (BSI), Kolkata",0
spml infra limited       ,SPML INFRA LIMITED       ,1
vst industries ltd       ,VST INDUSTRIES LTD       ,1
national museum institute (nmi),National Museum Institute (NMI),0
coral india fin & hous lt,CORAL INDIA FIN & HOUS LT,1
gujarat sidhee cem. ltd. ,GUJARAT SIDHEE CEM. LTD. ,1
bse limited              ,BSE LIMITED              ,1
genesys intl corpn ltd   ,GENESYS INTL CORPN LTD   ,1
rajvir industries limited,RAJVIR INDUSTRIES LIMITED,1
minda corporation ltd    ,MINDA CORPORATION LTD    ,1
indian space research organisation (isro) – the primary research and development arm,Indian Space Research Organisation (ISRO) – The primary research and development arm,0
emco limited             ,EMCO LIMITED             ,1
